Brand,UserID,Likes
Popeyes,Kimmi,94
JingaChicken,Jacquelynn,93
Popeyes,Randene,97
KFC,Natala,90
Popeyes,Stevana,92
JingaChicken,Arielle,99
Popeyes,Chelsey,98
JingaChicken,Pauline,92
KFC,Erin,96
KFC,Tracey,100
KFC,Goldarina,98
Popeyes,Starlin,92
JingaChicken,Agathe,96
JingaChicken,Karen,97
JingaChicken,Susanetta,99
JingaChicken,Allis,97
KFC,Carissa,94
Popeyes,Jackie,91
KFC,Janeczka,90
KFC,Tabbi,90
JingaChicken,Mada,96
JingaChicken,Ola,91
KFC,Bettine,93
Popeyes,Zea,96
JingaChicken,Seka,91
KFC,Nance,98
JingaChicken,Mariam,97
JingaChicken,Beilul,95
JingaChicken,Steffie,93
KFC,Danice,95
Popeyes,Terra,91
JingaChicken,Nicoli,90
Popeyes,Blancha,96
JingaChicken,Inger,92
JingaChicken,Dina,95
KFC,Emma,95
Popeyes,Yetty,95
JingaChicken,Valaree,100
JingaChicken,Bobbette,97
KFC,Rozelle,92
JingaChicken,Almeta,96
Popeyes,Gabbi,100
Popeyes,Annabel,98
KFC,Gypsy,90
JingaChicken,Myrle,92
KFC,Carolina,97
Popeyes,Tisha,96
Popeyes,Madlen,95
JingaChicken,Danika,97
KFC,Eloisa,99
Popeyes,Ashlen,93
Popeyes,Elianore,90
KFC,Bliss,94
KFC,Lorry,95
Popeyes,Loleta,97
JingaChicken,Candida,96
JingaChicken,Lesly,93
Popeyes,Janet,98
JingaChicken,Marijo,99
Popeyes,Arden,99
JingaChicken,Stevena,92
KFC,Etty,92
Popeyes,Mala,98
JingaChicken,Olenka,94
Popeyes,Abbie,91
KFC,Jenni,100
JingaChicken,Yoshi,90
Popeyes,Giselle,97
JingaChicken,Nanice,93
JingaChicken,Marjy,99
JingaChicken,Cordy,99
KFC,Horatia,95
KFC,Brunhilda,96
Popeyes,Arlinda,99
KFC,Marita,99
KFC,Amandie,93
JingaChicken,Barbey,90
Popeyes,Christina,95
KFC,Gerianne,98
Popeyes,Michaeline,93
KFC,Ynes,98
KFC,Malissa,94
JingaChicken,Row,93
KFC,Mirabelle,90
JingaChicken,Rosemonde,99
Popeyes,Risa,94
KFC,Aurelia,97
JingaChicken,Doris,92
KFC,Aurlie,93
KFC,Audrye,95
Popeyes,Ania,98
Popeyes,Ursa,92
JingaChicken,Caroline,90
Popeyes,Jaynell,93
JingaChicken,Marcile,94
Popeyes,Rebe,99
Popeyes,Louisette,93
KFC,Fara,96
JingaChicken,Samaria,99
KFC,Jeanelle,99
Popeyes,Concettina,95
JingaChicken,Jeanine,96
KFC,Lenora,90
JingaChicken,Aubine,98
KFC,Roanne,97
JingaChicken,Quintina,95
KFC,Cynthie,98
KFC,Anne-corinne,96
Popeyes,Jennie,94
Popeyes,Dara,99
Popeyes,Maye,98
JingaChicken,Shani,95
Popeyes,Darsie,92
Popeyes,Billy,99
JingaChicken,Lisabeth,96
KFC,Ema,99
JingaChicken,Eba,91
KFC,Aurilia,90
KFC,Lorie,93
KFC,Jennica,90
Popeyes,Jeannine,96
Popeyes,Xenia,95
JingaChicken,Bernie,99
KFC,Chelsey,94
KFC,Carlie,93
KFC,Cherianne,97
KFC,Jessalyn,90
KFC,Rosalia,99
JingaChicken,Leshia,99
JingaChicken,Arlene,96
Popeyes,Doris,96
KFC,Marianna,90
KFC,Dee dee,90
KFC,Lauri,98
KFC,Verina,93
JingaChicken,Taffy,90
Popeyes,Diane,100
Popeyes,Rosemarie,92
JingaChicken,Matti,100
Popeyes,Wandis,95
JingaChicken,Minta,100
JingaChicken,Sharl,100
JingaChicken,Addy,93
JingaChicken,Jacquelynn,92
KFC,Ange,96
Popeyes,Carolee,90
JingaChicken,Alis,91
Popeyes,Brinna,96
KFC,Florrie,97
Popeyes,Shawna,90
Popeyes,Tony,96
KFC,Amelia,92
Popeyes,Kelsy,97
JingaChicken,Mariejeanne,94
Popeyes,Maureene,92
JingaChicken,Julieta,91
KFC,Marleen,98
KFC,Daune,99
JingaChicken,Candis,91
KFC,Katlin,97
JingaChicken,Hildagard,94
KFC,Heida,90
JingaChicken,Vanny,94
JingaChicken,Emogene,97
KFC,Shara,100
Popeyes,Avrit,93
KFC,Jocelin,90
KFC,Kameko,94
JingaChicken,Kariotta,96
Popeyes,Codee,95
Popeyes,Muire,90
Popeyes,Donelle,93
Popeyes,Georgette,96
KFC,Blithe,92
KFC,Greer,93
KFC,Arlie,96
KFC,Marlie,95
KFC,Hermione,91
KFC,Isabelita,99
KFC,Alfi,96
KFC,Christiana,94
JingaChicken,Annabelle,95
JingaChicken,Catherin,98
Popeyes,Halette,98
KFC,Jeri,96
Popeyes,Marlene,91
JingaChicken,Lillis,92
Popeyes,Melodee,95
KFC,Delcine,92
Popeyes,Cassondra,97
JingaChicken,Tandy,97
KFC,Berry,97
KFC,Margret,100
JingaChicken,Livy,93
KFC,Anissa,100
KFC,Appolonia,100
Popeyes,Channa,95
KFC,Mable,95
Popeyes,Junia,99
Popeyes,Genevieve,97
JingaChicken,Augustine,98
Popeyes,Nani,94
KFC,Tiff,97
Popeyes,Brynn,98
JingaChicken,Lula,93
Popeyes,Ursola,93
Popeyes,Ermengarde,100
KFC,Tania,99
JingaChicken,Dannie,95
JingaChicken,Nalani,98
KFC,Barb,92
KFC,Denise,99
KFC,Wendy,95
KFC,Tova,91
Popeyes,Marlee,98
JingaChicken,Joby,100
KFC,Ivy,90
KFC,Fenelia,97
Popeyes,Evvie,90
JingaChicken,Clarinda,97
JingaChicken,Jeanelle,96
KFC,Chantalle,100
Popeyes,Kaitlynn,94
KFC,Latrina,90
Popeyes,Dulsea,98
KFC,Alison,100
KFC,Edy,100
JingaChicken,Aggie,96
Popeyes,Maddi,99
KFC,Rosemaria,94
Popeyes,Lucy,92
KFC,Gray,99
JingaChicken,Mitzi,97
JingaChicken,Chlo,90
KFC,Chere,97
Popeyes,Madelena,100
KFC,Annalise,94
Popeyes,Erina,100
Popeyes,Pepita,91
JingaChicken,Gus,97
JingaChicken,Jeanie,92
JingaChicken,Lanette,98
KFC,Nedi,95
Popeyes,Holli,99
Popeyes,Emilee,98
KFC,Damita,97
JingaChicken,Sibylle,99
KFC,Magdaia,92
KFC,Pia,96
Popeyes,Cherin,91
Popeyes,Doralynne,93
JingaChicken,Justinn,96
JingaChicken,Anne-marie,97
Popeyes,Leone,93
Popeyes,Renae,91
Popeyes,Jenifer,98
KFC,Janice,94
JingaChicken,Lyndel,93
KFC,Dulcinea,99
KFC,Margarita,93
JingaChicken,Robinette,93
JingaChicken,Kattie,92
Popeyes,Susy,94
JingaChicken,Kaitlin,90
KFC,Rhonda,98
Popeyes,Beckie,100
KFC,Pansie,90
Popeyes,Lorie,93
JingaChicken,Benny,90
JingaChicken,Marge,93
KFC,Hope,91
Popeyes,Theadora,98
Popeyes,Antoinette,90
Popeyes,Rebe,91
KFC,Aubrette,96
Popeyes,Jeannette,97
Popeyes,Zea,93
Popeyes,Fannie,99
JingaChicken,Dulsea,97
Popeyes,Rica,98
JingaChicken,Michell,93
JingaChicken,Nessy,99
JingaChicken,Jolene,96
Popeyes,Stacy,94
KFC,Moira,97
JingaChicken,Darcey,95
Popeyes,Leola,91
Popeyes,Eleni,95
JingaChicken,Bevvy,97
KFC,Adorne,94
JingaChicken,Muriel,99
KFC,Cahra,95
Popeyes,Tedda,90
Popeyes,Petronia,96
JingaChicken,Nissy,100
KFC,Sophia,91
Popeyes,Charmane,99
KFC,Minna,92
JingaChicken,Randa,94
JingaChicken,Karlotta,94
KFC,Brittani,100
KFC,Consolata,99
Popeyes,Terra,90
KFC,Daryn,96
Popeyes,Concettina,90
JingaChicken,Hallie,94
KFC,Liliane,91
JingaChicken,Elianora,91
Popeyes,Karly,98
Popeyes,Loren,91
JingaChicken,Jayme,91
KFC,Lisha,100
Popeyes,Teresa,97
KFC,Charmain,90
KFC,Kerrie,94
KFC,Latashia,100
KFC,Alyss,100
KFC,Marlyn,93
Popeyes,Carroll,92
JingaChicken,Nonna,99
KFC,Elle,92
JingaChicken,Stephenie,95
Popeyes,Abigael,93
KFC,Dionne,97
KFC,Evanne,98
Popeyes,Nettie,96
KFC,Caterina,96
JingaChicken,Brittaney,96
Popeyes,Eda,93
KFC,Aaren,93
KFC,Joyann,91
KFC,Marisa,97
JingaChicken,Dulcea,90
Popeyes,Minny,99
Popeyes,Audrie,99
JingaChicken,Lelah,98
Popeyes,Carmelita,98
JingaChicken,Sadella,94
Popeyes,Lisette,97
Popeyes,Melantha,100
KFC,Carmella,97
KFC,Edie,95
KFC,Stacey,99
Popeyes,Katleen,93
JingaChicken,Starla,95
KFC,Vivia,100
JingaChicken,Farra,96
JingaChicken,Cynde,91
KFC,Catriona,94
KFC,Kippy,100
JingaChicken,Harriet,98
JingaChicken,Angele,98
Popeyes,Sherilyn,96
KFC,Darda,96
JingaChicken,Ibbie,94
KFC,Dacey,90
JingaChicken,June,94
JingaChicken,Kata,91
KFC,Maressa,92
KFC,Carol,98
JingaChicken,Cthrine,95
KFC,Phoebe,94
JingaChicken,Cindelyn,95
KFC,Aeriel,97
Popeyes,Mellisent,90
KFC,Janelle,100
KFC,Michaelina,92
KFC,Freddie,96
Popeyes,Berta,92
KFC,Annalise,90
KFC,Dyna,94
Popeyes,Riki,90
Popeyes,Hattie,96
JingaChicken,Theo,94
JingaChicken,Chrysa,90
Popeyes,Corine,93
Popeyes,Marnia,99
Popeyes,Ulrike,94
JingaChicken,Anna-diane,96
KFC,Jessi,97
Popeyes,Minni,96
JingaChicken,Karlee,97
KFC,Judye,93
Popeyes,Isabelita,90
KFC,Allene,92
Popeyes,Roxine,96
JingaChicken,Lanie,90
Popeyes,Moina,92
KFC,Hedvig,99
Popeyes,Melantha,100
Popeyes,Koren,94
Popeyes,Jasmina,92
KFC,Nanette,100
JingaChicken,Ira,99
KFC,Matty,92
JingaChicken,Sabrina,92
Popeyes,Audre,99
KFC,Michaelina,90
JingaChicken,Romy,92
KFC,Anitra,93
