Timestamp,Age,Height,Weight,What are your dietary requirement?,Do you have any allergies?,Are you interested in trying new food?,Chicken Rice,Yong Tau Foo,Hokkien Mee,Char Kway Teow,Laksa,Kaya Toast,Chilli Crab,Dim Sum,Nasi Lemak,Ayam Penyet,Otah,Ice Kachang,Curry Puff,Satay,Chendol,Roti Prata,Tandoori Chicken,Chicken Masala,Fish Head Curry,Naan,French Fries,Fried Chicken,Burgers,Pasta,Chawanmushi,Sashimi,Sushi,Ramen,Miso Soup,Korean BBQ,Age_group
13/09/2022 22:52:36,17.0,165.0,73.0,None,None,Yes,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Dislike,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
13/09/2022 23:16:19,17.0,156.0,53.0,None,None,Yes,Like,Like,Like,Like,Dislike,Like,Dislike,Like,Dislike,Dislike,Dislike,Like,Like,Like,Dislike,Dislike,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
13/09/2022 23:18:46,18.0,166.0,47.0,None,None,Yes,Like,Dislike,Like,Like,Dislike,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Dislike,Young
13/09/2022 23:26:41,18.0,153.0,52.0,None,None,Yes,Dislike,Dislike,Like,Dislike,Like,Like,Dislike,Like,Dislike,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Young
13/09/2022 23:27:02,18.0,154.0,45.0,None,None,Yes,Like,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Young
13/09/2022 23:27:53,18.0,162.0,55.0,None,None,Yes,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Dislike,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Young
13/09/2022 23:27:56,46.0,167.0,55.0,No Beef,None,No,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Dislike,Like,Dislike,Dislike,Like,Dislike,Like,Dislike,Like,Dislike,Old
13/09/2022 23:27:58,18.0,156.0,45.0,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Young
13/09/2022 23:28:15,18.0,149.0,42.0,None,None,No,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Dislike,Like,Dislike,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
13/09/2022 23:28:20,17.0,153.0,47.0,None,"Milk, Eggs, Peanuts, Prawn, Honey, shrimp",Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
13/09/2022 23:28:29,17.0,155.0,55.0,None,None,Yes,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
13/09/2022 23:29:34,20.0,169.0,54.0,None,None,Yes,Like,Dislike,Like,Dislike,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Like,Like,Dislike,Dislike,Dislike,Like,Like,Dislike,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Dislike,Young
13/09/2022 23:29:47,18.0,165.0,63.0,None,None,Yes,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Dislike,Like,Dislike,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Young
13/09/2022 23:29:50,52.0,157.0,63.0,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Old
13/09/2022 23:30:22,20.0,170.0,100.0,None,"Prawn, Shellfish",Yes,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Dislike,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
13/09/2022 23:30:23,18.0,155.0,54.0,None,None,Yes,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Dislike,Like,Like,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Like,Young
13/09/2022 23:30:25,17.0,171.0,60.0,None,None,Yes,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
13/09/2022 23:30:27,17.0,162.5,62.0,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
13/09/2022 23:30:32,17.0,175.0,66.0,Halal,None,Yes,Dislike,Dislike,Dislike,Dislike,Like,Like,Dislike,Dislike,Like,Dislike,Like,Like,Dislike,Dislike,Dislike,Like,Like,Like,Dislike,Dislike,Dislike,Like,Like,Like,Dislike,Like,Like,Dislike,Dislike,Dislike,Young
13/09/2022 23:30:36,17.0,161.0,49.0,Lactose Intolerance,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Dislike,Like,Dislike,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Young
13/09/2022 23:30:46,18.0,175.0,90.0,No Beef,"Prawn, Shellfish, Fish",No,Like,Like,Dislike,Like,Dislike,Like,Dislike,Like,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Dislike,Like,Like,Young
13/09/2022 23:31:01,18.16,152.0,39.0,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
13/09/2022 23:31:45,50.0,160.0,52.0,Lactose Intolerance,None,Yes,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Dislike,Like,Dislike,Like,Like,Like,Like,Dislike,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Old
13/09/2022 23:31:52,21.0,157.0,42.0,Halal,None,Yes,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Dislike,Dislike,Like,Young
